issuekey,title,description,top_component,component,f4-audit,f4-auth,f4-camel,f4-core,f4-import-export,f4-java-client,f4-jmeter,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,f4-transform,f4-vagrant,f4-webapp-plus,legacy - FeSL,legacy - Fedora,legacy - GSearch,legacy - OAIProvider,legacy - OSGi,legacy - Trippi,legacy - community extensions,legacy - java-client,Sum
FCREPO-1838,webapp-plus: Internal Audit not active with jetty:run,"This task is to enable the internal audit capability when running ""mvn jetty:run"" on the fcrepo-webapp-plus project.",f4,f4-audit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCREPO-1846,fcrepo-audit doesn't build,fcrepo-audit no longer builds. the maven config doesn't import the modeshape-jcr-api artifact. It should.,f4,f4-audit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCREPO-1855,webapps-plus auth-master.xml file has incorrect classpath in audit import,"The auth-master.xml file located in the fcrepo-webapp-plus audit directory has an incorrect line.     <import resource=""${fcrepo.spring.jms.configuration:classpath:/spring/audit.xml}""/>    Should read:     <import resource=""${fcrepo.spring.audit.configuration:classpath:/spring/audit.xml}""/>    instead. ",f4,f4-audit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCREPO-1988,InternalAuditor logging SEVERE error when objects are created,See mailing list report: https://groups.google.com/d/msg/fedora-tech/Z9b1HCjjrFU/BZRljSGWBQAJ,f4,f4-audit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCREPO-1583,License Header should not be JavaDoc Comment,The current license header as enforced by Maven License Plugin is formatted as a JavaDoc comment. This is unfortunate as it tends to confuse source code tools that work with and format JavaDoc comments.    TODO:  1- Change first line of header from `/**` to `/*`  2- Update all projects to the new header by running mvn license:format    ,f4,"f4-audit,f4-auth,f4-camel,f4-core,f4-java-client,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,legacy - Fedora",1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,10
FCREPO-1653,Need to update site-maven-plugin from 0.11 to 0.12,Building and deploying ghpages fails for the release if we are using version 0.11 of site-maven-plugin.    We need to update the pom.xml for each component to 0.12 that uses it:  fcrepo4  fcrepo-message-consumer  fcrepo-module-auth-rbacl  fcrepo-module-auth-xacml  fcrepo-camel  fcrepo4-client  fcrepo-audit  fcrepo-camel-toolbox,f4,"f4-audit,f4-auth,f4-camel,f4-core,f4-java-client,f4-message-consumer",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FCREPO-1610,Factor up to org.fcrepo:fcrepo all possible Maven XML from projects that have it as their parent,"There is a certain amount of repeated XML in Maven configurations for projects inheriting from org.fcrepo:fcrepo. These projects include:     ? fcrepo-build-tools   ? fcrepo4   ? fcrepo-message-consumer   ? fcrepo-module-auth-rbacl   ? fcrepo-module-auth-xacml   ? fcrepo-camel   ? ontology   ? fcrepo4-client   ? fcrepo-audit   ? fcrepo-camel-toolbox   ? fcrepo-webapp-plus   ? fcrepo4-release-tests   ? fcrepo4-oaiprovider   ? fcrepo4-swordserver   ? migration-utils    This ticket is to find all such redundancies, and move that config up into the pom in org.fcrepo:fcrepo.",f4,"f4-audit,f4-auth,f4-camel,f4-core,f4-ldp,f4-oaiprovider,f4-ontology",1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
FCREPO-1659,upgrade travis config,"The travis-ci configuration has fcrepo and associated projects running on a ""legacy system"". This can be fixed by adding        sudo: false    to the .travis.yml file    Here is an example: https://github.com/travis-ci/container-example/blob/master/.travis.yml    More information here: http://docs.travis-ci.com/user/migrating-from-legacy/?utm_source=legacy-notice&utm_medium=banner&utm_campaign=legacy-upgrade",f4,"f4-audit,f4-auth,f4-camel,f4-core,f4-message-consumer",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FCREPO-2091,increment version numbers to 4.7.0-SNAPSHOT,The version numbers on master should be incremented to 4.7.0-SNAPSHOT immediately to make it possible to continue development work on master while the 4.6.0 release is being prepared.    This applies to:  fcrepo4  fcrepo-module-auth-rbacl  fcrepo-module-auth-xacml  fcrepo-module-auth-webac  fcrepo-mint  fcrepo-transform  fcrepo-audit  fcrepo-webapp-plus  ,f4,"f4-audit,f4-auth,f4-core,f4-transform,f4-webapp-plus",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5
FCREPO-1544,travis configuration should support java8,"Now that the fcrepo pom configuration specifies java8 as a build target, the .travis.yml configuration on the various downstream projects should be updated.    Effectively: perl -pi -e 's/oraclejdk7/oraclejdk8/' .travis.yml",f4,"f4-audit,f4-auth,f4-java-client,f4-message-consumer,f4-oaiprovider",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
FCREPO-1433,make sure f4-camel supports new user-related JMS headers,"Related to https://jira.duraspace.org/browse/FCREPO-1420    This is mostly a documentation issue, but the JmsHeaders class should be modified to include the new header fields.",f4,"f4-audit,f4-camel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1479,create karaf features.xml provisioning for fcrepo-camel-toolbox projects,"When deploying camel-toolbox applications (such as the audit service) in OSGi, it would be nice to have a feature.xml file so that the bundle can be installed and managed directly from the karaf shell:    $ feature:install audit-triplestore    Rather than compiling and manually installing it.",f4,"f4-audit,f4-camel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1499,add fcrepo- prefix to modules in fcrepo-camel-toolbox,The modules in fcrepo-camel-toolbox follow the naming convention of:    <feature>-<backend>    for example:    audit-triplestore  indexing-solr    This ticket is to rename those so that they are all prefixed by fcrepo-:    fcrepo-audit-triplestore  fcrepo-indexing-solr    These all will continue to live in the org.fcrepo.camel groupId,f4,"f4-audit,f4-camel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1501,audit-triplestore can't find class org.fcrepo.audit.InternalAuditor,"When the audit-triplestore Camel workflow is run (either as a webapp deployed in tomcat or using mvn jetty:run), when it attempts to process events, it gets the error:    java.lang.NoClassDefFoundError: Could not initialize class org.fcrepo.audit.InternalAuditor    The fcrepo-audit JAR file is present in the audit-triplestore WAR file.",f4,"f4-audit,f4-camel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-2035,remove fcrepo-audit-triplestore's dependency on fcrepo-audit,"In order to avoid code duplication, the camel-toolbox artifact fcrepo-audit-triplestore uses a method from fcrepo-audit. While this saves a few lines of code and adheres to the principle of DRY, in this case, it is a terrible structure. The reason it is terrible is that the fcrepo-audit module has a hard dependency on fcrepo-kernel-modeshape and by extension: infinispan, cassandra, mongodb, etc. In OSGi, one needs to be explicit about dependencies and so simply by using that one static function from fcrepo-audit, it makes the OSGi bundle carry along the entire modeshape/infinispan infrastructure in the OSGi runtime. This actually makes the system _more_ brittle, makes testing harder and is, generally a bad architecture. The camel code shouldn't need to care a whit about modeshape.    Until the time that fcrepo-audit does not have a hard dependency on modeshape, etc, the camel code should not use the fcrepo-audit module.",f4,"f4-audit,f4-camel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1683,Github Shuffle,"This is a ticket to track the migration of github repositories to their ""proper"" home, as discussed at various tech meetings. This is mostly about projects moving from fcrepo4-labs to fcrepo4-exts or from fcrepo4 to fcrepo4-exts.    Most projects will include a minor PR to update SCM information listed in the maven configuration.",f4,"f4-audit,f4-camel,f4-message-consumer",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FCREPO-1407,"Publish ""fixity"" message","This task is to create an event type for ""fixity events"" and to publish them through the standard EventBus/JMS messaging flow.",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1419,Make sure that all internal audit events generate JMS messages,"There is a ticket to generate messages for fixity events (FCREPO-1407), and all other events should be generating messages already.    This ticket is to confirm that all of the other internal events listed in the Audit event type table already generate events:    https://wiki.duraspace.org/display/FF/Audit+Service+Repository+Events+and+Agents",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1420,Make sure that generated messages contain enough information to create event RDF,"The Audit requirements list the information that must be recorded for events:    https://wiki.duraspace.org/display/FF/Design+-+Audit+Service#Design-AuditService-Functional-Write/Import    * Agent (end user)  * Date/Time  * Activity (event type)  * Entity (repository resource being acted on)    Make sure this information is available in the JMS messages being generated (so the events can be processed without needing to retrieve further info from the repository).  If any information is missing, create additional tickets for adding it.",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1421,Create Camel workflow to process messages and create event RDF in an external triplestore,None,f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1422,Propose RDF classes and properties that event RDF should use,"The Audit requirements includes guidlines for the properties and classes to use for recording audit information:    https://wiki.duraspace.org/display/FF/Audit+Service+PROV-O+vs+PREMIS    This ticket is to document the RDF that will be used to record audit events and gather community feedback:    * Verify that these guidelines cover all of the required information in the Audit specification  * Create a wiki page documenting the classes, properties and values that will be used  * Post a message to the fedora-tech mailing list asking for feedback on the wiki page",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1423,Document recipe for creating event RDF for external events in an external triplestore using SPARQL Update,"Once the Audit functional tickets from phase 1 are completed, document an end-to-end recipe for processing JMS events with Camel and storing audit triples in an external triplestore.",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1424,Investigate disabling deleting event triples from external triplestore,"In some audit scenarios, it is important to prevent deletion of audit records.  To support this, investigate options for access control and/or disabling deletes in an external triplestore.    Fuseki does not appear to have builtin access control functionality (see http://jena.apache.org/documentation/serving_data/#security-and-access-control), but Sesame uses a standard Java servlet container and so should support access control (see http://www.rivuli-development.com/further-reading/sesame-cookbook/basic-security-with-http-authentication/).",f4,"f4-audit,f4-core",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
